FIPS,COUNTY,ST,DMA CODE,DMA NAME,ZIPCODE
01001,Autauga,AL,698,MONTGOMERY,36003
01001,Autauga,AL,698,MONTGOMERY,36006
01001,Autauga,AL,698,MONTGOMERY,36008
01001,Autauga,AL,698,MONTGOMERY,36051
01001,Autauga,AL,698,MONTGOMERY,36066
01001,Autauga,AL,698,MONTGOMERY,36067
01001,Autauga,AL,698,MONTGOMERY,36068
01001,Autauga,AL,698,MONTGOMERY,36749
01003,Baldwin,AL,686,MOBILE-PENSACOLA,36507
01003,Baldwin,AL,686,MOBILE-PENSACOLA,36511
01003,Baldwin,AL,686,MOBILE-PENSACOLA,36526
01003,Baldwin,AL,686,MOBILE-PENSACOLA,36527
01003,Baldwin,AL,686,MOBILE-PENSACOLA,36530
01003,Baldwin,AL,686,MOBILE-PENSACOLA,36532
01003,Baldwin,AL,686,MOBILE-PENSACOLA,36533
01003,Baldwin,AL,686,MOBILE-PENSACOLA,36535
01003,Baldwin,AL,686,MOBILE-PENSACOLA,36536
01003,Baldwin,AL,686,MOBILE-PENSACOLA,36542
01003,Baldwin,AL,686,MOBILE-PENSACOLA,36547
01003,Baldwin,AL,686,MOBILE-PENSACOLA,36549
01003,Baldwin,AL,686,MOBILE-PENSACOLA,36550
01003,Baldwin,AL,686,MOBILE-PENSACOLA,36551
01003,Baldwin,AL,686,MOBILE-PENSACOLA,36555
01003,Baldwin,AL,686,MOBILE-PENSACOLA,36559
01003,Baldwin,AL,686,MOBILE-PENSACOLA,36561
01003,Baldwin,AL,686,MOBILE-PENSACOLA,36562
01003,Baldwin,AL,686,MOBILE-PENSACOLA,36564
01003,Baldwin,AL,686,MOBILE-PENSACOLA,36567
01003,Baldwin,AL,686,MOBILE-PENSACOLA,36574
01003,Baldwin,AL,686,MOBILE-PENSACOLA,36576
01003,Baldwin,AL,686,MOBILE-PENSACOLA,36577
01003,Baldwin,AL,686,MOBILE-PENSACOLA,36578
01003,Baldwin,AL,686,MOBILE-PENSACOLA,36579
01003,Baldwin,AL,686,MOBILE-PENSACOLA,36580
01005,Barbour,AL,522,"COLUMBUS, GA",36016
01005,Barbour,AL,522,"COLUMBUS, GA",36017
01005,Barbour,AL,522,"COLUMBUS, GA",36027
01005,Barbour,AL,522,"COLUMBUS, GA",36048
01005,Barbour,AL,522,"COLUMBUS, GA",36053
01005,Barbour,AL,522,"COLUMBUS, GA",36072
01007,Bibb,AL,630,BIRMINGHAM,35034
01007,Bibb,AL,630,BIRMINGHAM,35035
01007,Bibb,AL,630,BIRMINGHAM,35042
01007,Bibb,AL,630,BIRMINGHAM,35074
01007,Bibb,AL,630,BIRMINGHAM,35184
01007,Bibb,AL,630,BIRMINGHAM,35188
01007,Bibb,AL,630,BIRMINGHAM,36792
01007,Bibb,AL,630,BIRMINGHAM,36793
01009,Blount,AL,630,BIRMINGHAM,35013
01009,Blount,AL,630,BIRMINGHAM,35031
01009,Blount,AL,630,BIRMINGHAM,35049
01009,Blount,AL,630,BIRMINGHAM,35079
01009,Blount,AL,630,BIRMINGHAM,35097
01009,Blount,AL,630,BIRMINGHAM,35121
01009,Blount,AL,630,BIRMINGHAM,35133
01009,Blount,AL,630,BIRMINGHAM,35172
01011,Bullock,AL,698,MONTGOMERY,36029
01011,Bullock,AL,698,MONTGOMERY,36061
01011,Bullock,AL,698,MONTGOMERY,36089
01013,Butler,AL,698,MONTGOMERY,36015
01013,Butler,AL,698,MONTGOMERY,36030
01013,Butler,AL,698,MONTGOMERY,36033
