STATE,COUNTY,STATEFP,CNTYFP,CNTYTVHH,DMAINDEX,DMA
TX ,Brown                       ,48,49,14340,163,ABILENE (TX) - SWEETWATER (TX)                                       
TX ,Callahan                    ,48,59,5210,163,ABILENE (TX) - SWEETWATER (TX)                                       
TX ,Coleman                     ,48,83,3740,163,ABILENE (TX) - SWEETWATER (TX)                                       
TX ,Eastland                    ,48,133,7070,163,ABILENE (TX) - SWEETWATER (TX)                                       
TX ,Fisher                      ,48,151,1790,163,ABILENE (TX) - SWEETWATER (TX)                                       
TX ,Haskell                     ,48,207,2460,163,ABILENE (TX) - SWEETWATER (TX)                                       
TX ,Jones                       ,48,253,6410,163,ABILENE (TX) - SWEETWATER (TX)                                       
TX ,Knox                        ,48,275,1670,163,ABILENE (TX) - SWEETWATER (TX)                                       
TX ,Mitchell                    ,48,335,2940,163,ABILENE (TX) - SWEETWATER (TX)                                       
TX ,Nolan                       ,48,353,6130,163,ABILENE (TX) - SWEETWATER (TX)                                       
TX ,Runnels                     ,48,399,4370,163,ABILENE (TX) - SWEETWATER (TX)                                       
TX ,Scurry                      ,48,415,5520,163,ABILENE (TX) - SWEETWATER (TX)                                       
TX ,Shackelford                 ,48,417,1280,163,ABILENE (TX) - SWEETWATER (TX)                                       
TX ,Stephens                    ,48,429,3570,163,ABILENE (TX) - SWEETWATER (TX)                                       
TX ,Stonewall                   ,48,433,690,163,ABILENE (TX) - SWEETWATER (TX)                                       
TX ,Taylor                      ,48,441,47470,163,ABILENE (TX) - SWEETWATER (TX)                                       
GA ,Atkinson                    ,13,3,2810,148,ALBANY (GA)                                                          
GA ,Baker                       ,13,7,1510,148,ALBANY (GA)                                                          
GA ,Ben Hill                    ,13,17,6600,148,ALBANY (GA)                                                          
GA ,Berrien                     ,13,19,6390,148,ALBANY (GA)                                                          
GA ,Calhoun                     ,13,37,2040,148,ALBANY (GA)                                                          
GA ,Coffee                      ,13,69,13840,148,ALBANY (GA)                                                          
GA ,Colquitt                    ,13,71,15810,148,ALBANY (GA)                                                          
GA ,Cook                        ,13,75,6110,148,ALBANY (GA)                                                          
GA ,Crisp                       ,13,81,8400,148,ALBANY (GA)                                                          
GA ,Dougherty                   ,13,95,35120,148,ALBANY (GA)                                                          
GA ,Irwin                       ,13,155,3750,148,ALBANY (GA)                                                          
GA ,Lee                         ,13,177,8850,148,ALBANY (GA)                                                          
GA ,Mitchell                    ,13,205,8340,148,ALBANY (GA)                                                          
GA ,Terrell                     ,13,273,3930,148,ALBANY (GA)                                                          
GA ,Tift                        ,13,277,14070,148,ALBANY (GA)                                                          
GA ,Turner                      ,13,287,3470,148,ALBANY (GA)                                                          
GA ,Worth                       ,13,321,8140,148,ALBANY (GA)                                                          
MA ,Berkshire                   ,25,3,55130,55,ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)                           
NY ,Albany                      ,36,1,118550,55,ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)                           
NY ,Columbia                    ,36,21,24550,55,ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)                           
NY ,Fulton                      ,36,35,21730,55,ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)                           
NY ,Greene                      ,36,39,18390,55,ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)                           
NY ,Hamilton                    ,36,41,2360,55,ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)                           
NY ,Montgomery                  ,36,57,19510,55,ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)                           
NY ,Rensselaer                  ,36,83,58680,55,ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)                           
NY ,Saratoga                    ,36,91,80180,55,ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)                           
NY ,Schenectady                 ,36,93,58480,55,ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)                           
NY ,Schoharie                   ,36,95,11740,55,ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)                           
NY ,Warren                      ,36,113,25820,55,ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)                           
NY ,Washington                  ,36,115,22600,55,ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)                           
VT ,Bennington                  ,50,3,14800,55,ALBANY (NY) - SCHENECTADY (NY) - TROY (NY)                           
AZ ,Apache                      ,4,1,17490,49,ALBUQUERQUE (NM) - SANTA FE (NM)                                     
CO ,La Plata                    ,8,67,16820,49,ALBUQUERQUE (NM) - SANTA FE (NM)                                     
CO ,Montezuma                   ,8,83,9240,49,ALBUQUERQUE (NM) - SANTA FE (NM)                                     
NM ,Bernalillo                  ,35,1,219510,49,ALBUQUERQUE (NM) - SANTA FE (NM)                                     
NM ,Catron                      ,35,3,1360,49,ALBUQUERQUE (NM) - SANTA FE (NM)                                     
NM ,Chaves                      ,35,5,22030,49,ALBUQUERQUE (NM) - SANTA FE (NM)                                     
NM ,Cibola                      ,35,6,8060,49,ALBUQUERQUE (NM) - SANTA FE (NM)                                     
NM ,Colfax                      ,35,7,5860,49,ALBUQUERQUE (NM) - SANTA FE (NM)                                     
NM ,Debaca                      ,35,11,880,49,ALBUQUERQUE (NM) - SANTA FE (NM)                                     
